name,rec_yds,rec_td,rush_yds,rush_td
Josh Allen,,,585.2,11.8
Drake Maye,,,505.5,3.7
Lamar Jackson,,,639.8,3.2
Jayden Daniels,,,685.9,4.7
Jalen Hurts,,,461.3,8.7
Joe Burrow,,,178.7,1.4
Jaxson Dart,,,549.4,6.5
Brock Purdy,,,304.1,3.9
Dak Prescott,,,173.3,1.7
Trevor Lawrence,,,321.1,4.9
Patrick Mahomes II,,,376.1,3.4
Justin Herbert,,,459,2.1
Caleb Williams,,,398.3,2.1
Bo Nix,,,341.1,3.6
Matthew Stafford,,,33.1,0.2
Jared Goff,,,47.8,0.2
Tyler Shough,,,329.1,4.1
Baker Mayfield,,,362.1,1.5
Kyler Murray,,,475.8,3.4
Malik Willis,,,628.4,4.1
Jordan Love,,,194.6,0.6
Sam Darnold,,,131.8,0.6
C.J. Stroud,,,238.6,1
Daniel Jones,,,197.5,4
Bryce Young,,,257.5,3
Geno Smith,,,209.6,1
Jacoby Brissett,,,215.4,1.4
Cam Ward,,,185.5,2
Aaron Rodgers,,,82.2,0.6
Fernando Mendoza,,,227.1,1.3
Tua Tagovailoa,,,46.6,0.1
Deshaun Watson,,,197.3,1.3
Shedeur Sanders,,,143.8,0.9
Michael Penix Jr.,,,46.9,0.3
Kirk Cousins,,,9,0.1
Jahmyr Gibbs,580.5,4.1,1379.9,13.8
Bijan Robinson,737.5,3.8,1426.4,9.1
Jonathan Taylor,326.7,1.4,1509.1,12.9
Derrick Henry,172.1,0.7,1567.8,13.4
Christian McCaffrey,676.4,4.7,1077.4,8.9
De'Von Achane,527.3,4.3,1252.7,6.4
James Cook III,281.7,1.9,1402.9,10.3
Saquon Barkley,330.1,2.1,1311.1,8.2
Josh Jacobs,284.1,1.2,1160.8,12
Ashton Jeanty,413.8,3.3,1090.2,8
Chase Brown,430.4,3.9,1039,7.5
Omarion Hampton,353,2,1076.2,10
Kyren Williams,239.6,2.2,1139.3,10.2
Kenneth Walker III,346.9,1.2,1168.4,8.3
Breece Hall,411.3,2.2,1158.7,6.5
Jeremiyah Love,419.5,2.1,1079,7.2
Javonte Williams,167.9,1.2,1167.4,10.4
Cam Skattebo,364,2.5,1016.2,8.1
Travis Etienne Jr.,353.7,3,1063.4,5.3
Bucky Irving,342.4,2.3,1043.7,6.3
D'Andre Swift,299.8,1,1053.1,8
Quinshon Judkins,218.3,0.6,1104.3,8.1
Bhayshul Tuten,221.6,2.1,992.5,8.2
TreVeyon Henderson,261.5,1.2,886.6,7.3
Jadarian Price,220.1,1.1,911.8,8
David Montgomery,226.3,0.5,936.3,7.3
Tony Pollard,207.7,0.5,1044.6,5.9
J.K. Dobbins,94.2,0.6,1060.1,6.6
Rico Dowdle,220.6,1,898.3,6.2
Jaylen Warren,320.9,1.5,824.9,5.1
Chuba Hubbard,259.6,1.8,841.1,5.4
Rhamondre Stevenson,309.8,1.6,733.9,6.5
Kyle Monangai,192.7,0.4,817,5.2
RJ Harvey,344.2,3.5,508.5,4.6
Jacory Croskey-Merritt,79.6,0.2,821.4,7.5
Aaron Jones Sr.,303.3,1.7,730.2,3.6
Rachaad White,272.3,1.6,621.9,5.4
Blake Corum,73.7,0.2,780.6,6.3
Jordan Mason,75.8,0.1,784.8,5.5
Kenny Gainwell,351.7,2,485.2,3.8
Jonathon Brooks,192.9,1.1,623.4,3.9
Zach Charbonnet,147,0.5,532.3,5.6
Woody Marks,197.8,1.8,555.4,2.7
Isiah Pacheco,136.1,0.6,581.1,3.5
Tyrone Tracy Jr.,203.3,1.2,502.7,2.5
Tyjae Spears,305.5,1.2,367.6,2.9
Alvin Kamara,233.6,1.5,454.6,2.1
Chris Rodriguez Jr.,42.5,0.1,553.1,4.8
Brian Robinson Jr.,48.1,0.1,530,4.2
Tyler Allgeier,108.5,0.2,428,4.7
Justice Hill,303,1.8,273.5,2.2
Braelon Allen,93.7,0.7,427.4,4.3
Samaje Perine,135.6,0.4,442.7,3.7
Jordan James,148.3,0.7,416.5,3.2
Dylan Sampson,284.6,2.1,254.1,1.3
Ty Johnson,241.5,2.2,221.6,2.1
Kaelon Black,79.4,0.6,388.1,3.2
Emari Demercado,119,0.8,425.9,1.7
Tank Bigsby,29.3,0.1,419.4,3.2
Mike Washington Jr.,121.4,0.6,352.5,2.1
Malik Davis,67.3,0.2,382.7,2.8
Keaton Mitchell,82.7,0.2,395.4,1.9
Adam Randall,103.4,1.1,281,2
Chris Brooks,107.6,0.3,323.2,1.3
Kimani Vidal,104.3,0.7,251,1.6
James Conner,131.5,1,155.5,1.5
Emanuel Wilson,52.1,0,289.5,1.7
Jaylen Wright,52.4,0.1,299.6,1.5
MarShawn Lloyd,48.6,0.3,211.5,1.5
Kendre Miller,28,0,209.8,2.1
George Holani,62.2,0.3,164.2,1.5
Jaydon Blue,30.8,0.2,186.4,1.4
Emmett Johnson,41.1,0.2,165.1,1.3
Ollie Gordon II,27.7,0.1,185.2,1.1
Ray Davis,60,0.4,137.8,1.1
Isaiah Davis,77.7,0.2,135,0.9
DJ Giddens,56.7,0.3,141.5,1
Sean Tucker,3,0,145.4,2
LeQuint Allen Jr.,148,0.8,33.9,0.2
Devin Singletary,26.3,0.1,142.7,1
Brashard Smith,71,0.5,89.5,0.5
Trevor Etienne,59.2,0.3,105.6,0.6
Jonah Coleman,42.7,0.2,109.9,0.8
Najee Harris,18,0,126,1
Demond Claiborne,25.2,0.1,121.5,0.9
Seth McGowan,26.9,0.1,97.1,1.2
Kaytron Allen,25.5,0.1,110.8,0.7
Devin Neal,17,0,89.5,1
Nicholas Singleton,29.9,0.2,83.4,0.6
Jerome Ford,23.5,0,97,0.5
Isaac Guerendo,18.5,0,80,0.5
Kaleb Johnson,0,0,35.8,0.2
