name,team,pos,bye,ecr,adp,ecr_vs_adp,rank_std,fp_tier
Jahmyr Gibbs,DET,RB,6,1,1,0,1.43,1
Bijan Robinson,ATL,RB,11,2,2,0,1.12,1
Ja'Marr Chase,CIN,WR,6,3,3,0,1.38,1
Puka Nacua,LAR,WR,11,4,4,0,1.47,1
Jaxon Smith-Njigba,SEA,WR,11,5,5,0,1.56,1
Amon-Ra St. Brown,DET,WR,6,6,8,+2,1.77,2
Jonathan Taylor,IND,RB,13,7,6,-1,3.17,2
Christian McCaffrey,SF,RB,8,8,7,-1,5.15,2
CeeDee Lamb,DAL,WR,14,9,9,0,3.02,2
James Cook III,BUF,RB,7,10,12,+2,3.22,2
Justin Jefferson,MIN,WR,6,11,10,-1,3.89,2
Nico Collins,HOU,WR,8,12,22,+10,4.46,3
Derrick Henry,BAL,RB,13,13,18,+5,4.74,3
A.J. Brown,NE,WR,11,14,20,+6,5.63,3
Drake London,ATL,WR,11,15,19,+4,4.03,3
Brock Bowers,LV,TE,13,16,21,+5,2.66,3
Ashton Jeanty,LV,RB,13,17,11,-6,6.13,3
Saquon Barkley,PHI,RB,10,18,13,-5,5.66,3
George Pickens,DAL,WR,14,19,23,+4,5.52,3
Omarion Hampton,LAC,RB,7,20,14,-6,7.73,3
Trey McBride,ARI,TE,14,21,27,+6,9.03,4
De'Von Achane,MIA,RB,6,22,16,-6,8.50,4
Josh Allen,BUF,QB,7,23,35,+12,0.44,4
Kenneth Walker III,KC,RB,5,24,15,-9,8.59,4
Chase Brown,CIN,RB,6,25,17,-8,7.59,4
Chris Olave,NO,WR,8,26,29,+3,8.23,4
Rashee Rice,KC,WR,5,27,26,-1,10.60,4
Tee Higgins,CIN,WR,6,28,33,+5,6.47,4
Lamar Jackson,BAL,QB,13,29,55,+26,8.92,4
Kyren Williams,LAR,RB,11,30,32,+2,7.98,4
Drake Maye,NE,QB,11,31,67,+36,9.28,4
Tetairoa McMillan,CAR,WR,5,32,39,+7,7.64,4
Zay Flowers,BAL,WR,13,33,31,-2,8.77,4
DeVonta Smith,PHI,WR,10,34,35,+1,9.37,4
Josh Jacobs,GB,RB,11,35,41,+6,8.74,4
Emeka Egbuka,TB,WR,10,36,38,+2,10.23,5
Javonte Williams,DAL,RB,14,37,36,-1,7.70,5
Colston Loveland,CHI,TE,10,38,46,+8,14.96,5
Joe Burrow,CIN,QB,6,39,66,+27,12.68,5
Breece Hall,NYJ,RB,13,40,28,-12,5.30,5
Jeremiyah Love,ARI,RB,14,41,24,-17,6.93,5
Malik Nabers,NYG,WR,8,42,34,-8,15.38,5
Davante Adams,LAR,WR,11,43,48,+5,8.28,5
Jameson Williams,DET,WR,6,44,49,+5,7.98,5
Ladd McConkey,LAC,WR,7,45,37,-8,8.05,5
Terry McLaurin,WAS,WR,7,46,45,-1,7.92,5
Jaylen Waddle,DEN,WR,10,47,47,0,9.47,5
Travis Etienne Jr.,NO,RB,8,48,30,-18,8.36,5
Christian Watson,GB,WR,11,49,58,+9,12.15,5
Garrett Wilson,NYJ,WR,13,50,40,-10,9.14,5
Jayden Daniels,WAS,QB,7,51,65,+14,15.18,6
Cam Skattebo,NYG,RB,8,52,43,-9,6.07,6
Luther Burden III,CHI,WR,10,53,42,-11,8.19,6
Quinshon Judkins,CLE,RB,11,54,54,0,8.23,6
Mike Evans,SF,WR,8,55,44,-11,11.47,6
Bucky Irving,TB,RB,10,56,53,-3,7.80,6
Jalen Hurts,PHI,QB,10,57,71,+14,12.57,6
D'Andre Swift,CHI,RB,10,58,51,-7,5.63,6
Rome Odunze,CHI,WR,10,59,60,+1,11.28,6
Tucker Kraft,GB,TE,11,60,83,+23,12.91,6
TreVeyon Henderson,NE,RB,11,61,52,-9,9.02,6
David Montgomery,HOU,RB,8,62,50,-12,9.33,6
DJ Moore,BUF,WR,7,63,56,-7,11.36,6
Tyler Warren,IND,TE,13,64,64,0,12.23,6
Bhayshul Tuten,JAC,RB,7,65,57,-8,10.01,6
Caleb Williams,CHI,QB,10,66,70,+4,13.11,6
Jadarian Price,SEA,RB,11,67,62,-5,10.95,6
Justin Herbert,LAC,QB,7,68,82,+14,12.93,6
Marvin Harrison Jr.,ARI,WR,14,69,68,-1,10.03,7
Alec Pierce,IND,WR,13,70,79,+9,11.53,7
Tony Pollard,TEN,RB,9,71,74,+3,8.95,7
Trevor Lawrence,JAC,QB,7,72,85,+13,11.40,7
Jaylen Warren,PIT,RB,9,73,75,+2,6.43,7
DK Metcalf,PIT,WR,9,74,77,+3,9.07,7
Carnell Tate,TEN,WR,9,75,59,-16,26.29,7
Brian Thomas Jr.,JAC,WR,7,76,61,-15,10.36,7
Dak Prescott,DAL,QB,14,77,80,+3,13.19,7
Chuba Hubbard,CAR,RB,5,78,73,-5,12.73,7
Courtland Sutton,DEN,WR,10,79,81,+2,9.90,7
Rhamondre Stevenson,NE,RB,11,80,76,-4,8.80,7
Rico Dowdle,PIT,RB,9,81,87,+6,10.15,7
Sam LaPorta,DET,TE,6,82,96,+14,8.10,7
Harold Fannin Jr.,CLE,TE,11,83,103,+20,11.98,7
Kyle Pitts Sr.,ATL,TE,11,84,106,+22,11.82,7
Blake Corum,LAR,RB,11,85,93,+8,12.02,7
J.K. Dobbins,DEN,RB,10,86,99,+13,14.50,7
Kyle Monangai,CHI,RB,10,87,92,+5,9.66,7
Parker Washington,JAC,WR,7,88,69,-19,14.27,7
Jaxson Dart,NYG,QB,8,89,98,+9,13.33,7
Jordyn Tyson,NO,WR,8,90,63,-27,27.22,7
Quentin Johnston,LAC,WR,7,91,78,-13,12.13,7
Brock Purdy,SF,QB,8,92,95,+3,9.23,7
Chris Godwin Jr.,TB,WR,10,93,89,-4,12.80,7
RJ Harvey,DEN,RB,10,94,86,-8,15.40,7
Jordan Addison,MIN,WR,6,95,88,-7,9.85,8
