fpid,name,team,pos,bye,ecr,adp,ecr_vs_adp,rank_std,fp_tier
22968,Jahmyr Gibbs,DET,RB,6,1,1.6,0.6,1.24,1
23133,Bijan Robinson,ATL,RB,11,2,2.4,0.4,1.99,1
19788,Ja'Marr Chase,CIN,WR,6,3,5.2,2.2,1.10,1
23180,Puka Nacua,LAR,WR,11,4,2.6,-1.4,1.26,1
23070,Jaxon Smith-Njigba,SEA,WR,11,5,5.4,0.4,1.23,2
19217,Jonathan Taylor,IND,RB,13,6,4.2,-1.8,3.06,2
19799,Amon-Ra St. Brown,DET,WR,6,7,8.8,1.8,0.99,2
16393,Christian McCaffrey,SF,RB,8,8,6.5,-1.5,5.30,2
19202,CeeDee Lamb,DAL,WR,14,9,14.6,5.6,2.89,2
22958,James Cook III,BUF,RB,7,10,9.6,-0.4,2.95,2
19236,Justin Jefferson,MIN,WR,6,11,18.7,7.7,4.94,2
15514,Derrick Henry,BAL,RB,13,12,6.4,-5.6,4.09,3
20130,Nico Collins,HOU,WR,8,13,22.4,9.4,5.05,3
23163,Drake London,ATL,WR,11,14,11.7,-2.3,4.61,3
18218,A.J. Brown,NE,WR,11,15,19.7,4.7,6.17,3
22955,Brock Bowers,LV,TE,13,16,53.6,37.6,3.86,3
17240,Saquon Barkley,PHI,RB,10,17,14.1,-2.9,5.79,3
25989,Ashton Jeanty,LV,RB,13,18,16.3,-1.7,7.71,3
22963,George Pickens,DAL,WR,14,19,18.2,-0.8,6.31,3
25395,Omarion Hampton,LAC,RB,7,20,21.3,1.3,7.70,3
22936,Trey McBride,ARI,TE,14,21,58.3,37.3,8.75,4
17298,Josh Allen,BUF,QB,7,22,19.0,-3.0,0.44,4
25324,Chase Brown,CIN,RB,6,23,19.0,-4.0,7.20,4
23021,Kenneth Walker III,KC,RB,5,24,28.5,4.5,11.15,4
23136,De'Von Achane,MIA,RB,6,25,12.7,-12.3,7.82,4
23113,Rashee Rice,KC,WR,5,26,13.6,-12.4,10.70,4
20111,Chris Olave,NO,WR,8,27,26.1,-0.9,7.52,4
17233,Lamar Jackson,BAL,QB,13,28,49.4,21.4,8.27,4
22916,Zay Flowers,BAL,WR,13,29,25.0,-4.0,8.33,4
23059,Kyren Williams,LAR,RB,11,30,25.6,-4.4,7.93,4
19211,Tee Higgins,CIN,WR,6,31,34.4,3.4,6.87,4
19222,DeVonta Smith,PHI,WR,10,32,38.6,6.6,9.53,4
25409,Malik Nabers,NYG,WR,8,33,32.7,-0.3,12.48,4
23046,Drake Maye,NE,QB,11,34,46.4,12.4,11.36,4
18269,Josh Jacobs,GB,RB,11,35,14.5,-20.5,8.16,4
23062,Emeka Egbuka,TB,WR,10,36,29.1,-6.9,10.15,4
25417,Tetairoa McMillan,CAR,WR,5,37,37.9,0.9,7.45,4
22739,Javonte Williams,DAL,RB,14,38,31.0,-7.0,7.59,5
26006,Colston Loveland,CHI,TE,10,39,74.3,35.3,13.62,5
22982,Breece Hall,NYJ,RB,13,40,27.8,-12.2,4.64,5
25403,Jeremiyah Love,ARI,RB,14,41,28.5,-12.5,7.62,5
19196,Joe Burrow,CIN,QB,6,42,54.9,12.9,11.95,5
26122,Ladd McConkey,LAC,WR,7,43,48.0,5.0,8.43,5
23677,Jameson Williams,DET,WR,6,44,39.6,-4.4,9.37,5
12123,Davante Adams,LAR,WR,11,45,34.9,-10.1,8.28,5
22902,Jayden Daniels,WAS,QB,7,46,66.7,20.7,13.10,5
19790,Jaylen Waddle,DEN,WR,10,47,53.8,6.8,10.72,5
18466,Terry McLaurin,WAS,WR,7,48,44.4,-3.6,8.65,5
23886,Christian Watson,GB,WR,11,49,59.7,10.7,10.63,5
19231,Travis Etienne Jr.,NO,RB,8,50,40.6,-9.4,6.49,5
23072,Garrett Wilson,NYJ,WR,13,51,41.5,-9.5,9.49,6
27166,Cam Skattebo,NYG,RB,8,52,34.2,-17.8,6.50,6
19210,D'Andre Swift,CHI,RB,10,53,41.5,-11.5,6.86,6
25981,Bucky Irving,TB,RB,10,54,45.3,-8.7,7.27,6
25411,Rome Odunze,CHI,WR,10,55,40.8,-14.2,10.15,6
25391,Quinshon Judkins,CLE,RB,11,56,46.5,-9.5,7.82,6
